call_volume,datetime,tempmax,tempmin,temp,feelslike,precip,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,severerisk,conditions,description
51,2021-02-03,48.8,34.1,40.8,35.4,0.573,rain,1.1,0.6,36.0,23.0,23.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.
52,2021-03-19,54.0,38.0,45.1,40.8,0.079,rain,0.0,0.0,38.3,25.3,25.3,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
41,2021-04-13,65.9,38.0,51.7,48.1,0.0,,0.0,0.0,35.6,25.3,25.3,,Clear,Clear conditions throughout the day.
63,2021-06-26,102.8,62.1,83.5,84.4,0.0,,0.0,0.0,21.0,15.5,15.5,,Clear,Clear conditions throughout the day.
80,2021-06-27,110.9,68.0,88.9,90.5,0.0,,0.0,0.0,26.4,18.3,18.3,,Clear,Clear conditions throughout the day.
72,2021-06-28,92.9,64.1,78.5,78.8,0.0,,0.0,0.0,35.7,26.4,26.4,,Clear,Clear conditions throughout the day.
67,2021-07-29,98.1,59.0,79.5,78.2,0.0,,0.0,0.0,23.0,21.1,21.1,,Partially cloudy,Partly cloudy throughout the day.
58,2021-08-11,101.9,64.1,82.9,82.4,0.0,,0.0,0.0,16.3,10.3,10.3,,Partially cloudy,Partly cloudy throughout the day.
55,2021-08-12,102.8,66.8,83.9,83.9,0.0,,0.0,0.0,22.6,13.9,13.9,,Partially cloudy,Partly cloudy throughout the day.
59,2021-08-15,97.1,62.1,77.3,77.0,0.0,,0.0,0.0,21.9,11.4,11.4,,Partially cloudy,Partly cloudy throughout the day.
69,2021-09-18,70.1,55.1,61.0,61.0,1.114,rain,0.0,0.0,37.8,18.3,18.3,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
54,2021-10-24,57.8,50.0,53.1,53.0,0.203,rain,0.0,0.0,40.3,25.3,25.3,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
53,2021-10-25,56.9,50.0,52.5,51.7,0.075,rain,0.0,0.0,34.4,26.4,26.4,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
47,2021-11-04,57.8,50.0,54.8,54.7,0.307,rain,0.0,0.0,45.4,26.4,26.4,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
65,2021-12-06,48.8,39.8,45.3,42.3,1.204,rain,0.0,0.0,17.7,10.3,10.3,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
57,2021-12-11,47.9,44.1,46.2,39.2,1.364,rain,0.0,0.0,36.2,24.2,24.2,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
58,2021-12-13,44.1,35.1,38.6,32.8,1.106,"rain,snow",1.2,0.8,27.5,16.1,16.1,,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
60,2021-12-19,43.1,38.0,39.2,34.1,2.398,rain,0.0,0.0,32.7,16.1,16.1,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
58,2021-12-24,41.0,36.0,39.0,31.1,1.034,rain,0.3,0.1,39.4,20.8,20.8,,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.
68,2021-12-26,35.1,31.2,33.4,24.9,0.595,"rain,snow",2.9,1.3,32.9,17.2,17.2,,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
77,2021-12-27,34.1,23.0,30.7,23.2,0.185,"rain,snow",1.7,3.0,23.3,12.8,12.8,,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
64,2022-01-02,50.0,32.0,42.2,35.2,0.0,,0.0,0.5,44.7,30.0,30.0,,Partially cloudy,Partly cloudy throughout the day.
58,2022-01-03,47.9,38.9,42.9,37.2,2.12,rain,1.0,1.1,58.8,27.7,27.7,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
61,2022-01-07,51.2,41.0,46.4,42.4,0.044,rain,0.0,0.0,45.2,30.0,30.0,,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.
66,2022-02-23,39.8,21.8,29.1,20.7,0.0,,0.0,0.0,16.8,13.9,13.9,,Clear,Clear conditions throughout the day.
62,2022-02-24,44.1,21.8,32.8,28.6,0.0,,0.0,0.0,13.4,9.2,9.2,,Partially cloudy,Partly cloudy throughout the day.
56,2022-02-25,50.0,24.2,34.4,31.8,0.0,,0.0,0.0,11.4,8.1,8.1,,Partially cloudy,Partly cloudy throughout the day.
60,2022-04-11,50.0,37.1,42.9,36.4,0.214,rain,0.1,0.1,36.0,25.3,25.3,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
60,2022-04-16,50.0,37.1,43.6,39.8,0.032,rain,0.0,0.0,32.2,25.3,25.3,,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
66,2022-05-06,64.1,51.2,55.8,55.8,0.242,rain,0.0,0.0,41.4,31.1,31.1,,"Rain, Overcast",Cloudy skies throughout the day with rain.
50,2022-05-28,61.1,45.0,53.9,53.7,0.205,rain,0.0,0.0,46.0,33.3,33.3,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
57,2022-07-25,100.1,57.8,78.7,78.2,0.0,,0.0,0.0,16.6,12.8,12.8,,Clear,Clear conditions throughout the day.
67,2022-07-26,101.0,61.1,78.8,78.6,0.0,,0.0,0.0,17.9,15.0,15.0,,Clear,Clear conditions throughout the day.
