call_volume,datetime,tempmax,tempmin,temp,feelslike,precip,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,severerisk,conditions,description
42,2021-01-01,55.1,47.0,48.8,44.9,0.194,rain,0.0,0.0,35.6,19.7,19.7,,"Rain, Overcast",Cloudy skies throughout the day with rain.
30,2021-01-02,51.2,46.1,49.2,44.8,0.368,rain,0.0,0.0,35.6,20.8,20.8,,"Rain, Overcast",Cloudy skies throughout the day with rain.
39,2021-01-03,52.1,42.2,49.5,47.7,0.385,rain,0.0,0.0,41.8,20.8,20.8,,"Rain, Overcast",Cloudy skies throughout the day with rain.
50,2021-01-04,52.1,43.1,48.6,45.6,0.824,rain,0.0,0.0,44.3,15.0,15.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
58,2021-01-05,50.0,37.1,44.8,40.0,0.0,,0.0,0.0,30.4,16.1,16.1,,Partially cloudy,Partly cloudy throughout the day.
47,2021-01-06,50.0,45.0,47.4,44.3,0.618,rain,0.0,0.0,25.5,16.1,16.1,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
55,2021-01-07,54.0,39.8,45.2,43.3,0.0,,0.0,0.0,17.4,11.4,11.4,,Partially cloudy,Partly cloudy throughout the day.
48,2021-01-08,52.1,35.1,45.1,41.8,0.237,rain,0.0,0.0,24.2,11.4,11.4,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
35,2021-01-09,48.8,36.0,39.6,37.6,0.0,,0.0,0.0,13.9,6.9,6.9,,Overcast,Cloudy skies throughout the day.
46,2021-01-10,55.1,41.0,46.8,44.4,0.255,rain,0.0,0.0,22.1,15.0,15.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
53,2021-01-11,53.1,38.0,46.9,44.4,0.095,rain,0.0,0.0,38.5,13.9,13.9,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
47,2021-01-12,60.2,52.1,55.9,55.9,0.964,rain,0.0,0.0,56.6,21.9,21.9,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
52,2021-01-13,59.0,41.0,49.1,48.1,0.277,rain,0.0,0.0,61.7,23.0,23.0,,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
47,2021-01-14,54.0,38.0,44.6,43.5,0.0,,0.0,0.0,11.4,9.2,9.2,,Partially cloudy,Partly cloudy throughout the day.
54,2021-01-15,54.0,44.1,49.7,47.3,0.058,rain,0.0,0.0,8.7,11.4,11.4,,"Rain, Overcast",Cloudy skies throughout the day with morning rain.
44,2021-01-16,50.0,46.1,48.0,45.4,0.0,,0.0,0.0,9.8,12.8,12.8,,Overcast,Cloudy skies throughout the day.
39,2021-01-17,55.1,42.2,47.5,44.9,0.032,rain,0.0,0.0,18.8,19.7,19.7,,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
53,2021-01-18,46.1,34.1,41.9,36.8,0.0,,0.0,0.0,18.8,15.0,15.0,,Partially cloudy,Partly cloudy throughout the day.
55,2021-01-19,50.0,33.2,39.3,35.7,0.0,,0.0,0.0,14.8,11.4,11.4,,Partially cloudy,Partly cloudy throughout the day.
43,2021-01-20,46.1,27.0,36.6,34.7,0.0,,0.0,0.0,8.1,8.1,8.1,,Partially cloudy,Partly cloudy throughout the day.
46,2021-01-21,47.0,38.9,42.9,40.5,0.0,,0.0,0.0,10.5,9.2,9.2,,Overcast,Cloudy skies throughout the day.
49,2021-01-22,47.9,33.2,41.5,38.5,0.0,,0.0,0.0,14.5,9.2,9.2,,Partially cloudy,Partly cloudy throughout the day.
44,2021-01-23,47.9,27.0,36.1,33.1,0.0,,0.0,0.0,12.1,6.9,6.9,,Partially cloudy,Partly cloudy throughout the day.
53,2021-01-24,44.1,34.1,38.4,33.0,0.112,rain,0.0,0.0,19.5,16.1,16.1,,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
57,2021-01-25,44.1,33.2,36.9,32.4,0.044,"rain,snow",0.0,0.1,15.7,9.2,9.2,,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.
45,2021-01-26,41.0,30.8,35.9,30.2,0.349,"rain,snow",0.0,0.0,26.4,16.1,16.1,,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
47,2021-01-27,45.0,33.2,39.6,35.5,0.278,rain,0.0,0.2,30.9,18.3,18.3,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
40,2021-01-28,47.0,41.0,43.6,40.4,0.14,rain,0.0,0.0,9.2,11.4,11.4,,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.
56,2021-01-29,47.9,37.1,43.1,39.8,0.036,rain,0.0,0.0,20.4,13.9,13.9,,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
52,2021-01-30,53.1,42.2,47.1,44.8,0.096,rain,0.0,0.0,26.4,19.7,19.7,,"Rain, Overcast",Cloudy skies throughout the day with rain.
49,2021-01-31,55.1,47.0,49.8,47.8,0.364,rain,0.0,0.0,31.6,24.2,24.2,,"Rain, Overcast",Cloudy skies throughout the day with rain.
56,2021-02-01,50.0,45.0,48.0,46.3,0.501,rain,0.0,0.0,27.3,10.3,10.3,,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
52,2021-02-02,51.2,41.0,45.3,39.8,0.271,rain,0.0,0.0,41.4,22.2,22.2,,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
51,2021-02-04,50.0,29.9,39.6,36.2,0.0,,0.0,0.0,8.5,9.2,9.2,,Partially cloudy,Partly cloudy throughout the day.
54,2021-02-05,52.1,42.2,45.4,41.3,0.012,rain,0.0,0.0,14.1,12.8,12.8,,"Rain, Overcast",Cloudy skies throughout the day with morning rain.
