datetime,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,solarradiation,solarenergy,uvindex,severerisk,conditions,description,source
2023-08-10,83.9,62.9,72.8,72.5,54.5,55.6,0,0,0,,0,0,19.7,13.4,13.4,7.7,0.5,309.1,1015.1,267.9,22.9,9,10,Partially cloudy,Clearing in the afternoon.,obs
2023-08-11,89,56.9,72.3,71.7,53.3,55,0,0,0,,0,0,20.8,13.6,13.6,7.1,0,311.9,1016.4,303.5,26.2,9,10,Clear,Clear conditions throughout the day.,obs
2023-08-12,91.1,58,74.6,74,54.2,52.8,0,0,0,,0,0,25.1,17.3,17.3,9.7,0.4,317.4,1018.8,295.4,25.8,9,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-13,101.8,62.8,80.7,79.9,54.9,46,0,0,0,,0,0,24.8,17.5,17.5,9,0.2,312.8,1015.4,286,24.5,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-14,102,65.7,83.3,82.6,55.3,41.9,0,0,0,,0,0,20.6,11,11,4,0,329,1011.8,228.3,19.6,7,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-15,104.9,67.9,85.3,85.1,57.8,42.6,0,0,0,,0,0,20.4,13.1,13.1,6.2,0.4,153.7,1014,242,20.9,7,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-16,105,69,84.2,84.2,58.7,45.4,0,0,0,,0,0,17.7,9,9,4.2,0.1,262.4,1013.7,233.9,20,7,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-17,91.1,68.9,79.1,79.1,59.9,53.6,0,0,0,,0,0,26.4,14.7,14.7,5.2,0.4,186.1,1009.7,122.3,10.5,5,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-18,85.9,60.2,71.6,70.9,51.1,55,0,0,0,,0,0,23,16.7,16.7,8.9,0.3,303.3,1012.9,261.6,22.6,9,10,Partially cloudy,Clearing in the afternoon.,obs
2023-08-19,86.2,54.7,68.8,68.3,46.1,47.3,0,0,0,,0,0,20.1,12.9,12.9,8.5,1,318,1011.9,252.3,21.7,7,10,Partially cloudy,Becoming cloudy in the afternoon.,obs
2023-08-20,88,53.7,70.3,69.6,48.2,50.1,0,0,0,,0,0,21.9,11,11,5.2,0,327,1009.8,232,19.9,7,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-21,80.9,54,66.7,66.6,47.3,53.1,0,0,0,,0,0,25.3,13.7,13.7,5,0.8,256.9,1011,224,19.4,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-22,77.9,52.6,65,65,48.3,58.3,0.01,100,4.17,rain,0,0,20.6,11.1,11.1,5.6,0.1,221.8,1017.6,270.2,23.2,9,10,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,obs
2023-08-23,82,47.8,64.2,63.9,45.6,56.4,0,0,0,,0,0,20.8,14.6,14.6,6.1,0,310.6,1018.9,270.1,23.2,8,10,Clear,Clear conditions throughout the day.,obs
2023-08-24,88.1,52.8,69.3,68.7,49.7,53.9,0,0,0,,0,0,18.1,9.9,9.9,5.8,0,320.5,1013.7,247.7,21.3,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-25,89,62.9,73.5,73.3,57.8,61.3,0.037,100,4.17,rain,0,0,29.8,14.8,14.8,7.8,0,179.2,1013.5,234.5,20.4,7,10,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,obs
2023-08-26,87.8,56.7,69.3,69.2,56.6,67.3,0,0,0,,0,0,22.6,10.3,10.3,6.2,0.1,174.6,1015.6,237.4,20.3,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-27,77.9,59,66,66,57.4,75,0,0,0,,0,0,26.4,12.7,12.7,7.7,3.1,173.5,1018.4,204.2,17.7,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-28,68,60.2,63.5,63.5,57.5,81.1,0.059,100,8.33,rain,0,0,18.8,6.9,6.9,3.8,0.2,205.8,1019.8,58.4,4.9,2,10,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,obs
2023-08-29,73.1,59.1,65.9,65.9,55.6,70.6,0.011,100,4.17,rain,0,0,16.1,11.1,11.1,4.4,0,211.7,1021.4,132.7,11.4,4,10,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,obs
2023-08-30,81.9,55.2,67.5,67.4,53.1,64.6,0,0,0,,0,0,17,9.9,9.9,4.7,0,1.1,1020.4,238.8,20.6,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-08-31,64.9,58,62.5,62.5,57,82.5,0.16,100,58.33,rain,0,0,8.1,7.8,7.8,4.2,0,105.5,1011.8,68.5,5.9,2,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,obs
2023-09-01,78.2,62,67.1,67.1,60.1,80.1,0.071,100,25,rain,0,0,24.8,15.1,15.1,8.9,0.2,310.1,1008.8,99.7,8.7,4,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,obs
2023-09-02,85.9,55.1,67.2,67,55.5,70.2,0,0,0,,0,0,15.7,11.2,11.2,5.4,0.1,183.2,1012.9,186.5,15.9,8,10,Partially cloudy,Partly cloudy throughout the day.,obs
2023-09-03,77.9,56.9,65.4,65.4,55.5,72.6,0,0,0,,0,0,22.4,13,13,8.1,5.6,165.1,1017.3,188.3,16.2,7,10,Partially cloudy,Partly cloudy throughout the day.,obs
